city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Rawabi,Four Streets,3060,2020,4,4,1,1,1,1,0,1,0,0,1,0,1,1,0,0,80000
Riyadh,Tawiq,East,264,2020,7,5,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000
Riyadh,Al-Rahmaniyah,North,450,2009,7,5,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000
Riyadh,Ash-Shibiliyah,South,360,2015,7,5,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000
Riyadh,Ar-Ramal,North,206,2019,4,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000
Riyadh,Al-Aqiq,West,318,2014,4,4,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Yarmouk ,Southeast,400,2013,7,5,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000
Riyadh,Al-Usham,East,525,1996,3,3,1,1,0,1,0,1,0,1,1,0,0,1,0,0,90000
Riyadh,Al-Yarmouk ,South,275,2011,5,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000
Riyadh,Al-Mahdiah,East,227,2020,5,5,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000
Riyadh,Al-Yarmouk ,West,313,2015,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000
Riyadh,Al-Malqa,East,488,2020,4,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,250000
Riyadh,Qurtubah,North,360,2011,5,5,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000
Riyadh,Al-Sulaymaniyah,North,300,2006,4,4,1,1,0,0,0,1,0,1,1,0,1,1,0,0,90000
Riyadh,Ar-Ramal,North,350,2020,5,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,45000
Riyadh,Al-Ardeh,North,290,2020,5,5,1,1,1,1,1,1,0,0,1,0,0,1,1,0,170000
Riyadh,Al-Munsiyah,West,420,2018,4,4,1,1,0,0,0,1,0,1,1,0,0,1,0,1,90000
Riyadh,Al-Malqa,North,250,2016,3,5,1,1,1,1,1,1,0,0,1,0,1,1,0,0,155000
Riyadh,Al-Ardeh,North,430,2019,5,5,1,1,1,1,0,0,1,0,1,0,0,0,0,0,65000
Riyadh,Al-Narjis,South,267,2018,3,5,1,1,1,1,0,1,0,0,0,0,1,1,0,0,100000
Riyadh,Al-Nazlah,Northeast,640,2009,7,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,220000
Riyadh,Ar-Raid,North,312,2020,5,5,1,1,1,1,0,1,0,0,1,1,0,1,0,0,120000
